Year;Cultivar;Trial Code;Treatment;Dosage;BreviSmart;Corymb No.;F1;F2;F3;F4;F5;F6;F7;Fruitdrop (%)
2018;Golden Delicious;PD2018;UTC;NA;NA;20;16.5;14.5;12.5;8.5;0;0;0;25%
2018;Golden Delicious;PD2018;UTC;NA;NA;21;18;17.6;16;0;0;0;0;0%
2018;Golden Delicious;PD2018;UTC;NA;NA;22;19.3;17.8;16;15.3;14.8;0;0;60%
2018;Golden Delicious;PD2018;UTC;NA;NA;23;18.8;18.7;17.9;17.8;16.5;0;0;20%
2018;Golden Delicious;PD2018;UTC;NA;NA;24;16.1;15.7;10.5;10.5;10;0;0;80%
2018;Golden Delicious;PD2018;UTC;NA;NA;25;15.4;15;14.2;14;0;0;0;50%
2018;Golden Delicious;PD2018;UTC;NA;NA;26;17;15.7;14.3;13.9;0;0;0;25%
2018;Golden Delicious;PD2018;UTC;NA;NA;27;20;18.9;18.5;17;15;0;0;0%
2018;Golden Delicious;PD2018;UTC;NA;NA;28;18;16.4;14.5;14.1;12.1;0;0;20%
2018;Golden Delicious;PD2018;UTC;NA;NA;29;14.3;13.1;8.9;8.5;7.1;0;0;80%
2018;Golden Delicious;PD2018;UTC;NA;NA;30;14.4;8.4;7.6;0;0;0;0;67%
2018;Golden Delicious;PD2018;UTC;NA;NA;31;16.5;16;13.4;11.5;7.6;0;0;40%
2018;Golden Delicious;PD2018;UTC;NA;NA;32;16.5;14;10;0;0;0;0;33%
2018;Golden Delicious;PD2018;UTC;NA;NA;33;15.7;13.8;13.3;8.8;0;0;0;25%
2018;Golden Delicious;PD2018;UTC;NA;NA;34;18.6;18;17;8.8;0;0;0;25%
2018;Golden Delicious;PD2018;UTC;NA;NA;35;15.7;15.1;10;0;0;0;0;67%
2018;Golden Delicious;PD2018;UTC;NA;NA;36;16.2;15.5;12.3;10.8;8.7;0;0;60%
2018;Golden Delicious;PD2018;UTC;NA;NA;37;15.9;15;14.4;14.2;7;0;0;60%
2018;Golden Delicious;PD2018;UTC;NA;NA;38;14.6;14.5;12.9;0;0;0;0;33%
2018;Golden Delicious;PD2018;UTC;NA;NA;39;16.4;15.5;15.5;14.4;12.8;0;0;40%
2018;Golden Delicious;PD2018;UTC;NA;NA;40;15.2;8.4;8.4;7.8;0;0;0;75%
2018;Golden Delicious;PD2018;UTC;NA;NA;41;16.5;15;13.9;11.5;0;0;0;25%
2018;Golden Delicious;PD2018;UTC;NA;NA;42;16.1;14.4;9.1;0;0;0;0;67%
2018;Golden Delicious;PD2018;UTC;NA;NA;43;17;16.4;14.8;14.2;13.3;0;0;60%
2018;Golden Delicious;PD2018;UTC;NA;NA;44;15.3;14.7;13.6;13.5;0;0;0;50%
2018;Golden Delicious;PD2018;UTC;NA;NA;45;18.1;15.5;15.2;0;0;0;0;0%
2018;Golden Delicious;PD2018;UTC;NA;NA;46;16.7;15.2;14.5;10.1;0;0;0;50%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;1;17.4;14.8;14.6;13.9;0;0;0;50%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;2;17.7;17.2;17;16.1;0;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;3;18.8;17.9;9.3;7.7;0;0;0;50%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;4;17.2;16.7;15.8;0;0;0;0;33%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;5;16;15.9;15.7;15.2;13.5;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;6;15.6;15.4;0;0;0;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;7;16.3;15.9;15.4;15.3;14.5;0;0;20%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;8;18.3;0;0;0;0;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;9;18.8;17.3;17.2;16.5;0;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;10;17.7;16.5;9.1;8;7;0;0;60%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;11;18;16.7;11.8;0;0;0;0;100%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;12;17.4;16.6;15;14.5;9.7;0;0;40%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;13;18.4;17;16.4;16;0;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;14;18.4;17.2;16.2;16.1;15.5;0;0;40%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;15;16.5;15.3;14;9;8.6;0;0;60%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;16;16.6;15.4;12.8;12.8;7.3;0;0;40%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;17;18;16.9;16;12.1;0;0;0;25%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;18;18.8;17.4;16.3;14.8;7.4;0;0;40%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;19;17.4;16;15.6;12.6;0;0;0;25%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;20;16.5;15.2;13;12;10.1;0;0;40%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;21;17.6;17.5;16.8;15.3;8.6;0;0;20%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;22;18.9;17.5;17.2;13.3;10.7;0;0;40%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;23;18.8;17.5;17.1;16.2;15.8;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;24;16.4;16.3;13.9;10.1;8.5;0;0;40%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;25;18.6;17;15.6;9.7;9.3;0;0;40%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;26;16;15.6;14.3;0;0;0;0;33%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;27;14.8;14.6;14.6;8.7;0;0;0;50%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;28;16.1;16;12.4;9.3;0;0;0;50%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;29;16;15.8;14.9;8.7;0;0;0;25%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;30;16.2;15.4;12.9;11.6;0;0;0;50%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;31;15.7;12.8;11.5;8.5;0;0;0;50%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;32;16.1;15;0;0;0;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;34;16;0;0;0;0;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;35;14.5;0;0;0;0;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;36;14;0;0;0;0;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;37;15.8;15.1;11.8;0;0;0;0;33%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;38;16.5;15.4;15.3;13;0;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;39;14.1;0;0;0;0;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;40;15.5;14.8;0;0;0;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;41;19.6;16.4;0;0;0;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;42;17.4;17.3;14;9.5;0;0;0;75%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;43;18.5;16.5;15.7;0;0;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;44;17.4;14.7;14.2;13.5;13.5;0;0;40%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;45;18;16.7;14.7;9;0;0;0;25%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;46;16.6;16.6;9.9;9;0;0;0;75%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;47;17.4;15.3;9.3;8.7;0;0;0;50%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;48;18.3;16.5;16;9.9;8.6;0;0;40%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;49;18.5;15.5;15.3;0;0;0;0;100%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;50;15.1;11.2;10.8;0;0;0;0;100%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;52;15.4;14.5;12;0;0;0;0;67%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;53;14;0;0;0;0;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;54;19;16.5;15.2;15.2;10;0;0;40%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;55;19.3;17.4;16.3;16;14;0;0;40%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;56;18.2;16.5;16.5;15.5;0;0;0;25%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;57;16.5;15.7;15.4;10.6;9.6;0;0;60%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;58;17;16.2;0;0;0;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;59;15.7;14.2;11.8;10;0;0;0;50%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;60;17.3;15;14.6;11.4;9.5;0;0;40%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;61;16.9;13.8;8.9;0;0;0;0;33%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;62;16.1;15.1;13.1;0;0;0;0;67%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;63;17.1;15.9;12.9;8.5;0;0;0;50%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;64;16.4;14.1;8.3;7.4;0;0;0;75%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;65;16.2;15.1;14.7;12.5;0;0;0;25%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;66;16.7;15.6;15.5;14.9;14.5;0;0;20%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;67;14.3;14.2;13.5;13.3;9;0;0;20%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;68;15.8;14.5;12.9;0;0;0;0;33%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;69;12.3;11.7;10.9;7.4;7;0;0;80%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;70;16.4;15.5;15;13.8;12.6;0;0;40%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;71;17.3;15.2;10.9;9.4;0;0;0;75%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;72;17.6;16;15.5;10;0;0;0;25%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;73;17.1;16.5;15.1;8.3;0;0;0;25%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;74;16;15.3;12.4;10.3;8;0;0;100%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;75;15.1;13.1;12.6;9;0;0;0;50%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;76;15.3;14.1;0;0;0;0;0;100%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;77;14.3;13.4;8.5;0;0;0;0;67%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;78;15.3;15.3;15.2;14.9;14.8;0;0;0%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;79;8.5;6.8;0;0;0;0;0;100%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;80;9.6;0;0;0;0;0;0;100%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;81;15;14.1;12.7;10.2;0;0;0;50%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;82;17.1;16.1;15.2;8.3;0;0;0;25%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;83;17.5;17.3;16.8;16.7;14.1;0;0;20%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;84;17.2;13.5;11.8;7.3;0;0;0;75%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;85;18.2;15;10.8;0;0;0;0;33%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;86;15;15;14.5;14.2;13.1;0;0;40%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;87;16.2;15.9;15.3;15.2;10.6;0;0;20%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;88;17.6;16;15;14.7;9.9;0;0;20%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;89;16.9;16.4;12.5;11.8;10.1;0;0;60%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;90;16.8;16.2;15.4;0;0;0;0;33%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;91;15.3;9.7;0;0;0;0;0;50%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;92;14.9;14.8;11.5;11;0;0;0;75%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;93;15.2;14;9.9;0;0;0;0;33%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;94;15.2;14.4;0;0;0;0;0;50%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;95;17.9;15.9;11.2;0;0;0;0;33%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;96;16.8;15.9;7;0;0;0;0;33%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;97;18.9;16.6;16.2;9.4;0;0;0;25%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;99;11.1;9.2;9.1;9;0;0;0;100%
2018;Golden Delicious;PD2018;Brevis;1.1;Red;100;17.9;16.2;0;0;0;0;0;0%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;1;15.93;11.61;8.08;8.07;0;0;0;75%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;2;18.77;12.89;8.84;8.27;0;0;0;75%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;3;17.59;10.54;8.07;7.57;7.27;0;0;80%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;4;17.65;14.61;13.51;9.02;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;5;14.36;13.73;12.97;11.97;11.12;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;6;14.2;13.1;11.9;9.79;0;0;0;75%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;7;13.11;11.38;11.03;10.41;9.83;0;0;80%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;8;13.59;11.68;10.57;7.2;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;9;15.89;12.85;12.63;6.13;0;0;0;75%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;10;13.46;11.27;10.25;9.71;9.1;0;0;80%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;11;14.87;14;13.24;10.6;0;0;0;50%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;12;19.59;15.75;14.26;0;0;0;0;67%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;13;17.18;14.27;8.14;5.92;0;0;0;75%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;14;13.99;8.97;5.88;5.45;0;0;0;75%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;15;20.82;17.99;17.89;12.35;10.01;0;0;40%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;16;22.35;20.01;18.46;15.24;0;0;0;50%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;17;19.88;17.13;17.06;14.29;8;0;0;80%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;18;16.29;12.36;11.21;10.73;9.41;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;19;15.97;12.48;10.82;10.74;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;20;18.86;16.49;16.12;15.44;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;21;20.76;19.54;18.71;18.43;15.39;0;0;40%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;22;19.88;16.93;16.36;15.7;7.6;0;0;20%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;23;18.66;15.03;8.8;8.32;0;0;0;50%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;24;19.49;17.51;16.87;14.03;13.46;0;0;60%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;25;20.24;17.14;16.88;7.69;0;0;0;50%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;26;18.14;13.89;9.92;8.68;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;27;19.72;17.16;16.83;12.94;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;28;17.53;14.85;10.77;0;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;29;16.72;8.72;6.99;6.54;0;0;0;75%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;30;18.06;13.27;9.31;9.2;7.21;0;0;80%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;31;15.68;12.58;11.64;10.02;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;32;13.86;10.92;9.86;9.72;0;0;0;75%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;33;18.13;16.52;15.31;10.39;9.05;0;0;80%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;34;16.81;10.63;8.62;0;0;0;0;67%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;35;16.45;14.88;11.18;10.28;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;36;15.97;13.37;12.43;8.3;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;37;18.57;8.14;5.9;0;0;0;0;67%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;38;13.15;10.89;9.53;8.94;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;39;13.53;11.51;11.08;9.75;6.53;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;40;14.11;10.92;8.77;8.06;6.78;0;0;80%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;41;19.93;14.37;13.19;10.48;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;42;18.44;12.96;11.65;10.71;6.76;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;43;14.71;11.56;9.14;7.34;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;44;19.32;15.8;8.95;8.48;0;0;0;75%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;45;19.21;14.05;12.94;9.54;0;0;0;75%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;46;17.15;10.05;8.31;5.58;0;0;0;75%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;47;14.3;9.67;6.92;6.75;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;48;13.5;10.75;9.57;6.05;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;49;17.61;12.83;11.82;11.46;8.4;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;50;15.58;12.57;7.01;6.78;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;51;17.98;16.94;13.25;10.68;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;52;16.33;14.12;13.23;8.01;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;53;17.84;15.42;0;0;0;0;0;50%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;54;17.71;9.09;7.83;7.45;0;0;0;75%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;55;16.94;11.72;8.92;6.98;0;0;0;75%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;56;16.02;12.99;12.7;7.48;6.22;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;57;17.32;13.35;12.19;11.32;6.61;0;0;40%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;58;15.71;14.86;13.11;0;0;0;0;100%
2019;Golden Delicious;PD2019;Brevis;2.2;DarkGreen;59;16.67;14.42;11.52;7.51;0;0;0;100%
2019;Golden Delicious;PD2019;UTC;NA;NA;1;11.84;9.47;9.14;8.79;0;0;0;0%
2019;Golden Delicious;PD2019;UTC;NA;NA;2;11.87;11.32;10.89;6.29;4.96;0;0;40%
2019;Golden Delicious;PD2019;UTC;NA;NA;3;14.84;12.95;7.41;0;0;0;0;33%
2019;Golden Delicious;PD2019;UTC;NA;NA;4;17.45;10.37;9.28;8.81;6.24;0;0;80%
2019;Golden Delicious;PD2019;UTC;NA;NA;5;17.85;15.69;13;0;0;0;0;33%
2019;Golden Delicious;PD2019;UTC;NA;NA;6;13.36;9.39;6.24;5.87;5.85;0;0;60%
2019;Golden Delicious;PD2019;UTC;NA;NA;7;13.75;12.04;8.61;0;0;0;0;67%
2019;Golden Delicious;PD2019;UTC;NA;NA;8;19.7;15.45;13.6;13.07;10.47;0;0;20%
2019;Golden Delicious;PD2019;UTC;NA;NA;9;17.92;14.02;13.77;12.56;5.11;0;0;40%
2019;Golden Delicious;PD2019;UTC;NA;NA;10;18.92;13.35;11.79;11.04;10.98;0;0;40%
2019;Golden Delicious;PD2019;UTC;NA;NA;11;19.51;14.96;14.89;0;0;0;0;0%
2019;Golden Delicious;PD2019;UTC;NA;NA;12;17.32;10.03;5.99;0;0;0;0;67%
2019;Golden Delicious;PD2019;UTC;NA;NA;13;19.06;16.36;16.08;11.67;10.72;0;0;40%
2019;Golden Delicious;PD2019;UTC;NA;NA;14;16.5;13.81;7.57;6.25;0;0;0;50%
2019;Golden Delicious;PD2019;UTC;NA;NA;15;19.07;16.84;15.93;13.7;0;0;0;0%
2019;Golden Delicious;PD2019;UTC;NA;NA;16;19.04;16.81;11.04;0;0;0;0;33%
2019;Golden Delicious;PD2019;UTC;NA;NA;17;19.97;16.7;16.25;15.47;0;0;0;25%
2019;Golden Delicious;PD2019;UTC;NA;NA;18;20.23;17.59;12.28;0;0;0;0;33%
2019;Golden Delicious;PD2019;UTC;NA;NA;19;17.17;11.07;8.94;0;0;0;0;67%
2019;Golden Delicious;PD2019;UTC;NA;NA;20;17.84;14.04;12.09;7.09;0;0;0;25%
2019;Golden Delicious;PD2019;UTC;NA;NA;21;17.37;14.79;12.72;12.53;6.56;0;0;20%
2019;Golden Delicious;PD2019;UTC;NA;NA;22;17.21;13.15;12.77;11.35;6.29;0;0;40%
2019;Golden Delicious;PD2019;UTC;NA;NA;23;16.4;15.94;14.19;8.47;5.85;0;0;40%
2019;Golden Delicious;PD2019;UTC;NA;NA;24;16.92;15.73;12.33;0;0;0;0;0%
2019;Golden Delicious;PD2019;UTC;NA;NA;25;14.49;12.84;12.09;11.5;5.62;0;0;40%
2019;Golden Delicious;PD2019;UTC;NA;NA;26;15.07;12.07;11.4;10.1;0;0;0;50%
2019;Golden Delicious;PD2019;UTC;NA;NA;27;17.2;13.7;13.29;11.86;0;0;0;50%
2019;Golden Delicious;PD2019;UTC;NA;NA;28;14.54;13.38;11.49;8.71;0;0;0;50%
2019;Golden Delicious;PD2019;UTC;NA;NA;29;15.85;12.59;12.59;12.46;0;0;0;50%
2019;Golden Delicious;PD2019;UTC;NA;NA;30;17.61;16.13;15.33;9.65;0;0;0;25%
2019;Golden Delicious;PD2019;UTC;NA;NA;31;11.78;10.62;5.99;5.2;0;0;0;50%
2019;Golden Delicious;PD2019;UTC;NA;NA;32;18.8;15.08;12.98;0;0;0;0;0%
2019;Golden Delicious;PD2019;UTC;NA;NA;33;13.28;11.7;11.01;10.9;0;0;0;50%
2019;Golden Delicious;PD2019;UTC;NA;NA;34;16.23;13.51;13.34;12.21;0;0;0;25%
2019;Golden Delicious;PD2019;UTC;NA;NA;35;16.61;13.75;13.08;8.45;0;0;0;50%
2019;Golden Delicious;PD2019;UTC;NA;NA;36;14.49;11.27;7.46;0;0;0;0;67%
2019;Golden Delicious;PD2019;UTC;NA;NA;37;13.25;12.58;5.6;0;0;0;0;67%
2019;Golden Delicious;PD2019;UTC;NA;NA;38;14.33;11.94;11.6;10.29;0;0;0;0%
2019;Golden Delicious;PD2019;UTC;NA;NA;39;12.78;12.42;10.92;10.58;10.17;0;0;0%
2019;Golden Delicious;PD2019;UTC;NA;NA;40;17.97;14.31;12.52;8.57;8;0;0;60%
2019;Golden Delicious;PD2019;UTC;NA;NA;41;16.86;14.76;13.13;8.12;7.17;0;0;40%
2019;Golden Delicious;PD2019;UTC;NA;NA;42;18.01;14.67;14.01;9.03;6.79;0;0;40%
2019;Golden Delicious;PD2019;UTC;NA;NA;43;17.44;14.64;12.95;12.56;12;0;0;20%
2019;Golden Delicious;PD2019;UTC;NA;NA;44;17.7;13.78;13.76;12.89;0;0;0;25%
2019;Golden Delicious;PD2019;UTC;NA;NA;45;13.89;13.21;8.91;8.69;7.78;0;0;60%
2019;Golden Delicious;PD2019;UTC;NA;NA;46;18.25;15.75;15.73;14.81;13.89;0;0;40%
2019;Golden Delicious;PD2019;UTC;NA;NA;47;19;16.7;14.3;13.16;0;0;0;50%
2018;Golden Delicious;VM2018;Brevis;1.65;Green;1;8.4;7.54;7.42;7.38;0;0;0;25%
2018;Golden Delicious;VM2018;Brevis;1.65;Green;2;8.08;7.68;7.03;3.8;0;0;0;50%
2018;Golden Delicious;VM2018;Brevis;1.65;Green;3;10.29;9.86;7.75;7.72;4.03;0;0;60%
2018;Golden Delicious;VM2018;Brevis;1.65;Green;4;8.32;6.67;6.06;5.76;3.6;0;0;80%
2018;Golden Delicious;VM2018;Brevis;1.65;Green;5;7.78;6.24;6.04;5.58;5.45;0;0;80%
